,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
171,Wyden,Ron,,,,Ron Wyden,1949-05-03,M,sen,OR,,3,Democrat,https://www.wyden.senate.gov,221 Dirksen Senate Office Building Washington DC 20510,202-224-5244,https://www.wyden.senate.gov/contact/,http://www.wyden.senate.gov/rss/feeds/?type=all&amp;,RonWyden,250188760,,senronwyden,UCsd3UEaoLoqX60P88BdpGGw,,W000779,01247,N00007724,S247,"S6OR00110,H0OR03026",1962,300100,27036,Ron Wyden,,14871,Ron Wyden
172,Young,Todd,C.,,,Todd Young,1972-08-24,M,sen,IN,,3,Republican,https://www.young.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,202-224-5623,https://www.young.senate.gov/contact,,SenToddYoung,234128524,SenatorToddYoung,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,,Y000064,02019,N00030670,S391,"H0IN09070,S6IN00191",1033743,412428,120345,Todd Young,,21133,Todd Young
178,Schatz,Brian,Emanuel,,,Brian Schatz,1972-10-20,M,sen,HI,,3,Democrat,https://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,202-224-3934,https://www.schatz.senate.gov/contact,,SenBrianSchatz,1262099252,SenBrianSchatz,senbrianschatz,UC8-mSYp2WqBiB_5iwtwKfow,,S001194,02173,N00028138,S353,"S4HI00136,H6HI02244",87784,412507,17852,Brian E. Schatz,,41112,Brian Schatz
181,Cotton,Tom,,,,Tom Cotton,1977-05-13,M,sen,AR,,2,Republican,https://www.cotton.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-2353,https://www.cotton.senate.gov/contact/contact-tom,,SenTomCotton,968650362,SenatorTomCotton,RepTomCotton,UCXEk6mokWBajIpNatbjnwSg,,C001095,02098,N00033363,S374,"H2AR04083,S4AR00103",63928,412508,135651,Tom Cotton,,21301,Tom Cotton
182,Sinema,Kyrsten,,,,Kyrsten Sinema,1976-07-12,F,sen,AZ,,1,Independent,https://www.sinema.senate.gov,317 Hart Senate Office Building Washington DC 20510,202-224-4521,https://www.sinema.senate.gov/contact-kyrsten,,SenatorSinema,1080844782,CongresswomanSinema,repsinema,UC4NzhW7D4lQdukSGWmFnK9w,,S001191,02099,N00033983,S403,"H2AZ09019,S8AZ00197",68489,412509,28338,Kyrsten Sinema,,21300,Kyrsten Sinema
194,Duckworth,Tammy,,,,Tammy Duckworth,1968-03-12,F,sen,IL,,3,Democrat,https://www.duckworth.senate.gov,524 Hart Senate Office Building Washington DC 20510,202-224-2854,https://www.duckworth.senate.gov/content/contact-senator,,SenDuckworth,1058520120,SenDuckworth,repduckworth,UCYRWRvUxtjaHnFMCbdd94tg,,D000622,02123,N00027860,S386,"H6IL06141,S6IL00292",94484,412533,57442,Tammy Duckworth,,21325,Tammy Duckworth
196,Warren,Elizabeth,,,,Elizabeth Warren,1949-06-22,F,sen,MA,,1,Democrat,https://www.warren.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-4543,https://www.warren.senate.gov/?p=email_senator,http://www.warren.senate.gov/rss/?p=hot_topic,SenWarren,970207298,senatorelizabethwarren,senelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A,,W000817,02182,N00033492,S366,S2MA00170,1023023,412542,141272,Elizabeth Warren,,41301,Elizabeth Warren
197,King,Angus,S.,Jr.,,"Angus S. King, Jr.",1944-03-31,M,sen,ME,,1,Independent,https://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/rss/feeds/?type=all,SenAngusKing,1068481578,SenatorAngusSKingJr,SenatorAngusKing,UCpp6lGvrmt0XU_lnD4Ak0gA,,K000383,02185,N00034580,S363,S2ME00109,37413,412545,22381,Angus King,,41300,Angus King
200,Daines,Steve,,,,Steve Daines,1962-08-20,M,sen,MT,,2,Republican,https://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510,202-224-2651,https://www.daines.senate.gov/connect/email-steve,,SteveDaines,11651202,SteveDainesMT,SteveDainesMT,UC-ny-W5mEUGytiyMdXbQ20Q,,D000618,02138,N00033054,S375,"H2MT01060,S2MT00096",1034037,412549,135720,Steve Daines,,21338,Steve Daines
202,Cramer,Kevin,,,,Kevin Cramer,1961-01-21,M,sen,ND,,1,Republican,https://www.cramer.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-2043,https://www.cramer.senate.gov/contact/contact-kevin,,SenKevinCramer,1048784496,CongressmanKevinCramer,kevincramer,UCqUPdO9XaAW-dvwwXKbIVdA,,C001096,02144,N00004614,S398,"H0ND01026,H6ND00074,S8ND00120",7600,412555,444,Kevin Cramer,,21350,Kevin Cramer
203,Fischer,Deb,,,,Deb Fischer,1951-03-01,F,sen,NE,,1,Republican,https://www.fischer.senate.gov,454 Russell Senate Office Building Washington DC 20510,202-224-6551,https://www.fischer.senate.gov/public/index.cfm/contact,http://www.fischer.senate.gov/public/index.cfm/rss/feed,SenatorFischer,1071402577,senatordebfischer,senatordebfischer,UCrbEfZaG_WhB0PBHI1hefPQ,,F000463,02179,N00033443,S357,S2NE00094,1034067,412556,41963,Deb Fischer,,41302,Deb Fischer
210,Mullin,Markwayne,,,,Markwayne Mullin,1977-07-26,M,sen,OK,,2,Republican,https://www.mullin.senate.gov,B33 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.mullin.senate.gov/,,SenMullin,1060370282,RepMullin,,UCLQlm-cbGbJj9baZC6oFsag,,M001190,02156,N00033410,S419,H2OK02083,1034045,412568,135898,Markwayne Mullin,,21355,Markwayne Mullin
213,Cruz,Ted,,,,Ted Cruz,1970-12-22,M,sen,TX,,1,Republican,https://www.cruz.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5922,https://www.cruz.senate.gov/?p=form&id=16,,SenTedCruz,1074480192,SenatorTedCruz,sentedcruz,UCOTZ-6H1rri1lSsj6IzhUyw,,C001098,02175,N00033085,S355,S2TX00312,1019953,412573,135705,Ted Cruz,,41304,Ted Cruz
219,Kaine,Timothy,,,Tim,Tim Kaine,1958-02-26,M,sen,VA,,1,Democrat,https://www.kaine.senate.gov,231 Russell Senate Office Building Washington DC 20510,202-224-4024,https://www.kaine.senate.gov/contact,http://www.kaine.senate.gov/rss/feeds/?type=all,,,SenatorKaine,SenatorTimKaine,UC27LgTZlUnBQoNEQFZdn9LA,,K000384,02176,N00033177,S362,S2VA00142,49219,412582,50772,Tim Kaine,,41305,Tim Kaine
224,Booker,Cory,Anthony,,,Cory A. Booker,1969-04-27,M,sen,NJ,,2,Democrat,https://www.booker.senate.gov,717 Hart Senate Office Building Washington DC 20510,202-224-3224,https://www.booker.senate.gov/?p=contact,,SenBooker,2167097881,,SenCoryBooker,UC6FlymqNS1VettnVZa7goPA,,B001288,02194,N00035267,S370,S4NJ00185,84679,412598,76151,Cory Booker,,41308,Cory Booker
257,Sullivan,Dan,,,,Dan Sullivan,1964-11-13,M,sen,AK,,2,Republican,https://www.sullivan.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3004,https://www.sullivan.senate.gov/contact/email,,SenDanSullivan,2891210047,SenDanSullivan,,UC7tXCm8gKlAhTFo2kuf5ylw,,S001198,02290,N00035774,S383,S4AK00214,1023262,412665,114964,Daniel S. Sullivan,,41500,Dan Sullivan (U.S. senator)
258,Ernst,Joni,,,,Joni Ernst,1970-07-01,F,sen,IA,,2,Republican,https://www.ernst.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-3254,https://www.ernst.senate.gov/public/index.cfm/contact,,SenJoniErnst,2856787757,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,,E000295,02283,N00035483,S376,S4IA00129,75342,412667,128583,Joni Ernst,,41502,Joni Ernst
259,Tillis,Thom,,,,Thom Tillis,1960-08-30,M,sen,NC,,2,Republican,https://www.tillis.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-6342,https://www.tillis.senate.gov/public/index.cfm/email-me,,SenThomTillis,2964174789,SenatorThomTillis,,UCUD9VGV4SSGWjGdbn37Ea2w,,T000476,02291,N00035492,S384,S4NC00162,77055,412668,57717,Thom Tillis (North Carolina),,41504,Thom Tillis
260,Rounds,Mike,,,,Mike Rounds,1954-10-24,M,sen,SD,,2,Republican,https://www.rounds.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5842,https://www.rounds.senate.gov/contact/email-mike,,SenatorRounds,2955485182,SenatorMikeRounds,,UC-pvzimyBdpdkcIfsicrfrQ,,R000605,02288,N00035187,S381,S4SD00049,78317,412669,7455,Mike Rounds,,41505,Mike Rounds
266,Kennedy,John,Neely,,,John Kennedy,1951-11-21,M,sen,LA,,3,Republican,https://www.kennedy.senate.gov/public,437 Russell Senate Office Building Washington DC 20510,202-224-4623,https://www.kennedy.senate.gov/public/email-me,,SenJohnKennedy,816683274076614656,JohnKennedyLouisiana,,,,K000393,,N00026823,S389,S4LA00065,1011723,412679,35496,John Neely Kennedy,,41703,John Kennedy (Louisiana politician)
267,Hassan,Margaret,Wood,,Maggie,Margaret Wood Hassan,1958-02-27,F,sen,NH,,3,Democrat,https://www.hassan.senate.gov,324 Hart Senate Office Building Washington DC 20510,202-224-3324,https://www.hassan.senate.gov/content/contact-senator,,SenatorHassan,946549322,SenatorHassan,,,,H001076,,N00038397,S388,S6NH00091,67481,412680,42552,Maggie Hassan,,41702,Maggie Hassan
268,Cortez Masto,Catherine,,,,Catherine Cortez Masto,1964-03-29,F,sen,NV,,3,Democrat,https://www.cortezmasto.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-3542,https://www.cortezmasto.senate.gov/contact,,SenCortezMasto,811313565760163844,SenatorCortezMasto,,UCip_83SiKUqwnUT57VOXrCg,,C001113,,N00037161,S385,S6NV00200,105698,412681,69579,Catherine Cortez Masto,,41700,Catherine Cortez Masto
285,Marshall,Roger,,,,Roger Marshall,1960-08-09,M,sen,KS,,2,Republican,https://www.marshall.senate.gov,479A Russell Senate Office Building Washington DC 20510,202-224-4774,https://www.marshall.senate.gov/contact/,,SenatorMarshall,1336344005588738052,,,,,M001198,,N00037034,S411,"H6KS01179,S0KS00315",103425,412704,172080,Roger Marshall,,21734,Roger Marshall (politician)
290,Budd,Ted,,,,Ted Budd,1971-10-21,M,sen,NC,,3,Republican,https://www.budd.senate.gov,B85 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.budd.senate.gov/,,RepTedBudd,817138492614524928,RepTedBudd,,,,B001305,,N00039551,S417,H6NC13129,103513,412712,171489,Ted Budd,,21708,Ted Budd
293,Rosen,Jacky,,,,Jacky Rosen,1957-08-02,F,sen,NV,,1,Democrat,https://www.rosen.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-6244,https://www.rosen.senate.gov/contact_jacky,,SenJackyRosen,818554054309715969,RepJackyRosen,,,,R000608,,N00038734,S402,"H6NV03139,S8NV00156",104738,412715,169471,,,21743,Jacky Rosen
307,Smith,Tina,Flint,,,Tina Smith,1958-03-04,F,sen,MN,,2,Democrat,https://www.smith.senate.gov,720 Hart Senate Office Building Washington DC 20510,202-224-5641,https://www.smith.senate.gov/share-your-opinion/,,SenTinaSmith,941000686275387392,USSenTinaSmith,,,,S001203,,N00042353,S394,S8MN00578,111313,412742,152968,Tina Smith,,41706,Tina Smith
308,Hyde-Smith,Cindy,,,,Cindy Hyde-Smith,1959-05-10,F,sen,MS,,2,Republican,https://www.hydesmith.senate.gov,702 Hart Senate Office Building Washington DC 20510,202-224-5054,https://www.hydesmith.senate.gov/content/contact-senator,,SenHydeSmith,983348251972816896,,,UCJHxkJhGST0NTlkzJHWV03Q,,H001079,,N00043298,S395,S8MS00261,113208,412743,20784,Cindy Hyde-Smith,,41707,Cindy Hyde-Smith
376,Scott,Rick,,,,Rick Scott,1952-12-01,M,sen,FL,,1,Republican,https://www.rickscott.senate.gov,502 Hart Senate Office Building Washington DC 20510,202-224-5274,https://www.rickscott.senate.gov/contact/contact,,SenRickScott,131546062,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,,S001217,,N00043290,S404,S8FL00273,,412838,124204,Rick Scott,,41903,Rick Scott
377,Braun,Mike,,,,Mike Braun,1954-03-24,M,sen,IN,,1,Republican,https://www.braun.senate.gov,404 Russell Senate Office Building Washington DC 20510,202-224-4814,https://www.braun.senate.gov/contact-mike,,SenatorBraun,1080870981877534720,,,,,B001310,,N00041731,S397,S8IN00171,,412839,148564,Mike Braun,,41900,Mike Braun
378,Hawley,Joshua,,,Josh,Josh Hawley,1979-12-31,M,sen,MO,,1,Republican,https://www.hawley.senate.gov,115 Russell Senate Office Building Washington DC 20510,202-224-6154,https://www.hawley.senate.gov/contact-senator-hawley,,SenHawleyPress,1080960924687704064,,,,,H001089,,N00041620,S399,S8MO00160,,412840,169716,Josh Hawley,,41901,Josh Hawley
379,Romney,Mitt,,,,Mitt Romney,1947-03-12,M,sen,UT,,1,Republican,https://www.romney.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-5251,https://www.romney.senate.gov/contact-senator-romney,,SenatorRomney,1078693601356509184,,,,,R000615,,N00000286,S401,"S8UT00176,S4MA00143",,412841,21942,Mitt Romney,,41902,Mitt Romney
386,Kelly,Mark,,,,Mark Kelly,1964-02-21,M,sen,AZ,,3,Democrat,https://www.kelly.senate.gov,516 Hart Senate Office Building Washington DC 20510,202-224-2235,https://www.kelly.senate.gov,,SenMarkKelly,1324926274888888320,SenMarkKelly,,,,K000377,,N00044223,S406,S0AZ00350,,456794,190594,Mark Kelly,,,Mark Kelly
387,Lummis,Cynthia,M.,,,Cynthia M. Lummis,1954-09-10,F,sen,WY,,2,Republican,https://www.lummis.senate.gov,124 Russell Senate Office Building Washington DC 20510,202-224-3424,https://www.lummis.senate.gov/contact/contact-form/,,SenLummis,22831059,,,,,L000571,01960,N00029788,S410,"H8WY00148,S0WY00137",1031365,412294,15546,Cynthia Lummis,,20953,Cynthia Lummis
391,Tuberville,Tommy,Hawley,,,Tommy Tuberville,1954-09-18,M,sen,AL,,2,Republican,https://www.tuberville.senate.gov,142 Russell Senate Office Building Washington DC 20510,202-224-4124,https://www.tuberville.senate.gov/contact/contact-form/,,SenTuberville,1345739193721487362,,,,,T000278,,N00044434,S412,S0AL00230,,456796,188306,Tommy Tuberville,,,Tommy Tuberville
392,Hickenlooper,John,Wright,,,John W. Hickenlooper,1952-02-07,M,sen,CO,,2,Democrat,https://www.hickenlooper.senate.gov,374 Russell Senate Office Building Washington DC 20510,202-224-5941,https://www.hickenlooper.senate.gov/contact/,,SenatorHick,1318728336923787264,,,,,H000273,,N00044206,S408,S0CO00575,,456797,,John Hickenlooper,,,John Hickenlooper
393,Hagerty,Bill,Francis,,,Bill Hagerty,1959-08-14,M,sen,TN,,2,Republican,https://www.hagerty.senate.gov,251 Russell Senate Office Building Washington DC 20510,202-224-4944,https://www.hagerty.senate.gov/email-me/,,SenatorHagerty,1346873610875654147,,,,,H000601,,N00045369,S407,S0TN00169,,456798,128466,Bill Hagerty,,,Bill Hagerty
444,Padilla,Alejandro,,,Alex,Alex Padilla,1973-03-22,M,sen,CA,,3,Democrat,https://www.padilla.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,https://www.padilla.senate.gov/contact/,,SenAlexPadilla,1351236267707654145,,,,,P000145,,N00047888,S413,S2CA00955,,456856,59742,Alex Padilla,,,Alex Padilla
445,Ossoff,Jon,,,,Jon Ossoff,1987-02-16,M,sen,GA,,2,Democrat,https://www.ossoff.senate.gov,455 Russell Senate Office Building Washington DC 20510,202-224-3521,https://www.ossoff.senate.gov/contact-us/,,SenOssoff,1356714265894408196,,,,,O000174,,N00040675,S414,"H8GA06195,S8GA00180",,456857,176134,Jon Ossoff,,,Jon Ossoff
446,Warnock,Raphael,Gamaliel,,,Raphael G. Warnock,1969-07-23,M,sen,GA,,3,Democrat,https://www.warnock.senate.gov,388 Russell Senate Office Building Washington DC 20510,202-224-3643,https://www.warnock.senate.gov/contact/,,SenatorWarnock,1352287997853622273,,,,,W000790,,N00046489,S415,S0GA00559,,456858,189794,Raphael Warnock,,,Raphael Warnock
461,Britt,Katie,Elizabeth,,,Katie Boyd Britt,1982-02-02,F,sen,AL,,3,Republican,https://www.britt.senate.gov,B40A Dirksen Senate Office Building Washington DC 20510,202-224-5744,https://www.britt.senate.gov/,,,,,,,,B001319,,,S416,S2AL00145,,456874,201704,Katie Britt,,,Katie Britt
462,Schmitt,Eric,Stephen,,,Eric Schmitt,1975-06-20,M,sen,MO,,3,Republican,https://www.schmitt.senate.gov,B11 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.schmitt.senate.gov/,,,,,,,,S001227,,,S420,S2MO00544,,456875,104474,Eric Schmitt,,,Eric Schmitt
463,Vance,J.D. (James),(David),,,J.D. Vance,1984-08-02,M,sen,OH,,3,Republican,https://www.vance.senate.gov,B40C Dirksen Senate Office Building Washington DC 20510,202-224-3353,https://www.vance.senate.gov/,,,,,,,,V000137,,,S421,S2OH00436,,456876,,J.D. Vance,,,J. D. Vance
464,Fetterman,John,Karl,,,John Fetterman,1969-08-15,M,sen,PA,,3,Democrat,https://www.fetterman.senate.gov,B40B Dirksen Senate Office Building Washington DC 20510,202-224-4254,https://www.fetterman.senate.gov/,,,,,,,,F000479,,,S418,S6PA00274,,456877,166286,John Fetterman,,,John Fetterman
539,Ricketts,Pete,,,,Pete Ricketts,1964-08-19,M,sen,NE,,2,Republican,https://www.ricketts.senate.gov,40D Dirksen Senate Office Building Washington DC 20510,202-224-4224,,,,,,,,,R000618,,,S423,S6NE00129,61233,456952,57777,Pete Ricketts,,,Pete Ricketts
