BIOID,,COUNTRY NAME,TIME SPECIFIC COUNTRY NAME,COUNTRY ID,COUNTRY TEXT ID,COW COUNTRY ID,FNAME_ORIG,LNAME_ORIG,FNAME,LNAME,FullName,GOVTWIT,GOVTWIT_ID,PTWIT ,PTWIT_ID,OTWIT,OTWIT_ID,OTWIT_TYPE,OTWIT_2,OTWIT_ID_2,OTWIT_TYPE_2,OTWIT_3,OTWIT_ID_3,OTWIT_TYPE_3,OTWIT_4,OTWIT_ID_4,OTWIT_TYPE_4,OTWIT_5,OTWIT_ID_5,OTWIT_TYPE_5,OTWIT_6,OTWIT_ID_6,OTWIT_TYPE_6,OFFICE1,OFFICE1_LEVEL,OFFICE1_CONSTITUENCYLEVEL1,OFFICE1_CONSTITUENCYLEVEL2,OFFICE1_CONSTITUENCYLEVEL3,OFFICE1_CONSTITUENCYLEVEL4,OFFICE1_CONSTITUENCYLEVEL5,OFFICE1_TERRITORIAL,OFFICE1_RESERVED,OFFICE1_ELECTORALSYSTEM,OFFICE1_MAGNITUDE,OFFICE1_CLOSEDLIST,OFFICE1_LISTNUM,OFFICE1_ROUND,OFFICE1_MAXROUNDS,OFFICE1_TERMLENGTH,OFFICE1_ELECTION RESULT PRIMARY,OFFICE1_ASSUMED OFFICE,OFFICE1_RESULT DISCREPANCY,OFFICE2,OFFICE2_LEVEL,OFFICE2_CONSTITUENCYLEVEL1,OFFICE2_CONSTITUENCYLEVEL2,OFFICE2_CONSTITUENCYLEVEL3,OFFICE2_CONSTITUENCYLEVEL4,OFFICE2_CONSTITUENCYLEVEL5,OFFICE2_TERRITORIAL,OFFICE2_RESERVED,OFFICE2_ELECTORALSYSTEM,OFFICE2_MAGNITUDE,OFFICE2_CLOSEDLIST,OFFICE2_LISTNUM,OFFICE2_ROUND,OFFICE2_MAXROUNDS,OFFICE2_TERMLENGTH,OFFICE2_ELECTION RESULT,OFFICE2_ASSUMED OFFICE,OFFICE2_RESULT DISCREPANCY,INDEPENDENT,"PARTY NAME, ENGLISH","PARTY NAME, ORIGINAL",PARTY SHORT NAME,NUMERIC PARTY IDENTIFIER,PARTY FACTS ID,CMPCODE,CHES PARTY CODE,GPS PARTY CODE,"LIST NAME, ORIGINAL",OFFICE1_INCUMBENT,OFFICE2_INCUMBENT,YEAR-START,MONTH-START,DAY-START,YEAR-END,MONTH-END,DAY-END,GENDER,BIRTHDATE,EDUCATION,EDUCATION DISCIPLINE,ETHNICITY/RACE ,IMMIGRANT ,COUNTRY OF BIRTH,CURRENT PROFESSION,PRE-POLITICAL PROFESSION,OFFICE1_LAST CANDIDATE,OFFICE2_LAST CANDIDATE,LAST NATIONAL LEGISLATIVE CANDIDATE,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT COMPLETE,LAST NATIONAL EXECUTIVE CANDIDATE,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT COMPLETE,PRIOR HIGH PUBLIC OFFICE NAME 1,PRIOR HIGH PUBLIC OFFICE NAME ENGLISH 1,PRIOR HIGH PUBLIC OFFICE TYPE 1,PRIOR HIGH PUBLIC OFFICE LEVEL 1,PRIOR HIGH PUBLIC OFFICE START 1,PRIOR HIGH PUBLIC OFFICE END 1,PRIOR HIGH PUBLIC OFFICE 2..N,OTHER POLITICAL EXPERIENCE ,FEC_ID,EDUCATION DISCIPLINE GRADUATE,ETHNICITY,VETERAN,MODIFIED,COMMENTS,OFFICE1_ELECTION_RESULT_GENERAL,334
5404631,,United States of America ,,,,,Lori Cowger,Dittman,Lori Cowger,Dittman,Lori Cowger Dittman,,,LoriDittman,313320317,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404632,,United States of America ,,,,,Kevin,Carpenter,Kevin,Carpenter,Kevin Carpenter,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404641,,United States of America ,,,,,Adam,Burkhammer,Adam,Burkhammer,Adam Burkhammer,,,AdamBurkhammer,1380991340780077056,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404642,,United States of America ,,,,,John,Clise,John,Clise,John Clise,,,,,JohnClise,1407808421819203589,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404651,,United States of America ,,,,,"Carl ""Robbie""",Martin,"Carl ""Robbie""",Martin,Carl  Martin,,,,,RobbieMartinWV,1518670348249665539,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404652,,United States of America ,,,,,"William ""Ty""",Nestor,"William ""Ty""",Nestor,William  Nestor,,,304Lawyer ,4786906029,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404661,,United States of America ,,,,,"Robert ""Bob""",Sheets,"Robert ""Bob""",Sheets,Robert  Sheets,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404671,,United States of America ,,,,,Elias,Coop-Gonzalez,Elias,Coop-Gonzalez,Elias Coop-Gonzalez,,,,,Elias_Coop1,825817797989134338,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404672,,United States of America ,,,,,Cody H ,Thompson,Cody H ,Thompson,Cody H  Thompson,ThompsonWVHouse,955186973647437824,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404681,,United States of America ,,,,,Chris ,Phillips,Chris ,Phillips,Chris  Phillips,Delegate47th,1103387919325237253,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404691,,United States of America ,,,,,Keith,Marple,Keith,Marple,Keith Marple,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404692,,United States of America ,,,,,Ron,Watson,Ron,Watson,Ron Watson,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404701,,United States of America ,,,,,Mickey,Petitto,Mickey,Petitto,Mickey Petitto,,,mickeygene1,2810322728,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404702,,United States of America ,,,,,Ryan,Deems,Ryan,Deems,Ryan Deems,,,,,RyanDeems89,326412122,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404711,,United States of America ,,,,,Laura ,Kimble,Laura ,Kimble,Laura  Kimble,,,,,laurakimble4wv,1221578594419453954,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404712,,United States of America ,,,,,"Robert ""Rob""",Garcia,"Robert ""Rob""",Garcia,Robert  Garcia,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404721,,United States of America ,,,,,Clay,Riley,Clay,Riley,Clay Riley,DelegateRIley,1327333427247521795,claypriley,192733533,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404722,,United States of America ,,,,,Derek,Mcintyre,Derek,McIntyre,Derek McIntyre,,,,,McIntyre4House,4870899256,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404731,,United States of America ,,,,,Amy ,Summers,Amy ,Summers,Amy  Summers,,,AmyMSummers,3149703021,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404732,,United States of America ,,,,,Mike,Manypenny,Mike,Manypenny,Mike Manypenny,,,,,MikeManypenny,3857273489,2,mikemanypenny18,861742294655008768,2,manypenny2016,754486582959144960,2,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404741,,United States of America ,,,,,Mike,Devault,Mike,Devault,Mike Devault,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404742,,United States of America ,,,,,"John ""Johnboy""",Palmer,"John ""Johnboy""",Palmer,John  Palmer,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404751,,United States of America ,,,,,Phil,Mallow,Phil,Mallow,Phil Mallow,,,,,PhilMallowWV,2431167746,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404752,,United States of America ,,,,,Stephanie Spears,Tomana,Stephanie Spears,Tomana,Stephanie Spears Tomana,,,,,teamtomana,2880500392,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404761,,United States of America ,,,,,Jon,Dodds,Jon,Dodds,Jon Dodds,,,JonDodds,475875475,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404762,,United States of America ,,,,,Joey,Garcia,Joey,Garcia,Joey Garcia,JoeyGarciaWV,2507713069,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404771,,United States of America ,,,,,Joe ,Statler,Joe ,Statler,Joe  Statler,Monongalia_Joe,781129802,,,statler4house,2511568747,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404772,,United States of America ,,,,,Ben ,Swanson,Ben ,Swanson,Ben  Swanson,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404781,,United States of America ,,,,,Geno ,Chiarelli,Geno ,Chiarelli,Geno  Chiarelli,,,,,GenoforHouse,1475757583780786179,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404782,,United States of America ,,,,,Jeffrey A. ,Budkey,Jeffrey A. ,Budkey,Jeffrey A.  Budkey,,,,,BudkeyforHouse,1220828430322880512,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404791,,United States of America ,,,,,Zach,Lemaire,Zach,Lemaire,Zach Lemaire,,,,,lemaire4liberty,726118597182033920,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404792,,United States of America ,,,,,Evan,Hansen,Evan,Hansen,Evan Hansen,,,hansenevan ,244510825,HansenForWV,4145267067,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404801,,United States of America ,,,,,Justin,White,Justin,White,Justin White,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404802,,United States of America ,,,,,John,Williams,John,Williams,John Williams,,,JohnWilliamsWV,345750672,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404811,,United States of America ,,,,,Steven,Harris,Steven,Harris,Steven Harris,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404812,,United States of America ,,,,,Danielle,Walker,Danielle,Walker,Danielle Walker,,,,,officialdaniwv,924844536299491328,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404821,,United States of America ,,,,,Debbie,Warner,Debbie,Warner,Debbie Warner,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404822,,United States of America ,,,,,Katie,Fallon,Katie,Fallon,Katie Fallon,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404831,,United States of America ,,,,,George,Street,George,Street,George Street,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404832,,United States of America ,,,,,JR,Wolfe,JR,Wolfe,JR Wolfe,,,,,wolfe_2020,1312505665122951169,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404841,,United States of America ,,,,,D.R. (Buck),Jennings,D.R. (Buck),Jennings,D.R. (Buck) Jennings,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404842,,United States of America ,,,,,Lisa,Hyre,Lisa,Hyre,Lisa Hyre,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404851,,United States of America ,,,,,John Paul,Hott II,John Paul,Hott II,John Paul Hott II,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404861,,United States of America ,,,,,Bryan C.,Ward,Bryan C.,Ward,Bryan C. Ward,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404862,,United States of America ,,,,,Jameson Pual,Freeman,Jameson Pual,Freeman,Jameson Pual Freeman,,,JamesonFreeman,30563201,Jamesonfreeman4,1246669366441267201,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404871,,United States of America ,,,,,Gary,Howell,Gary,Howell,Gary Howell,,,71Demon,41240235,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404872,,United States of America ,,,,,David,Boden,David,Boden,David Boden,,,,,BodenWv,1513366034648023047,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404881,,United States of America ,,,,,Rick,Hillenbrand,Rick,Hillenbrand,Rick Hillenbrand,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404891,,United States of America ,,,,,Darren J.,Thorne,Darren J.,Thorne,Darren J. Thorne,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404901,,United States of America ,,,,,George,Miller,George,Miller,George Miller,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404911,,United States of America ,,,,,Don,Forsht,Don,Forsht,Don Forsht,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404921,,United States of America ,,,,,Michael,Hite,Michael,Hite,Michael Hite,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404931,,United States of America ,,,,,Michael,Hornby,Michael,Hornby,Michael Hornby,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404932,,United States of America ,,,,,Z. ,Lansdowne,Z. ,Lansdowne,Z.  Lansdowne,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404941,,United States of America ,,,,,Larry D. ,Kump,Larry D. ,Kump,Larry D.  Kump,_kump,2210302769,d_kump,1010211151576207361,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404951,,United States of America ,,,,,"Charles ""Chuck""",Horst Sr. ,"Charles ""Chuck""",Horst Sr. ,Charles  Horst Sr. ,,,CharlesHorst95,1519063201203249152,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404952,,United States of America ,,,,,Debi,Carroll,Debi,Carroll,Debi Carroll,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404961,,United States of America ,,,,,Eric L.,Householder,Eric L.,Householder,Eric L. Householder,,,wvulawdad,1265875579,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404962,,United States of America ,,,,,Ronald,Wenger,Ronald,Wenger,Ronald Wenger,,,,,ronw4wv,1521206928562610176,2,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
5404971,,United States of America ,,,,,John,Hardy,John,Hardy,John Hardy,JohnRHardy73,1094052157836410880,JohnHar95912031,1214014008958734338,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
5404972,,United States of America ,,,,,Philip,Wenner,Philip,Wenner,Philip Wenner,,,,,,,,,,,,,,,,,,,,,,,House of Delegates,2,United States of America,West Virginia,House of Delegates District 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
